Node Feature Group,Edge Feature Group,Adjacent Edges Only,Model,Average Accuracy,Average Precision,Average Recall,Average F-beta
['CO'],['scaled_sci'],TRUE,<class 'torch_geometric.nn.conv.res_gated_graph_conv.ResGatedGraphConv'>,0.968917748,0.881204003,0.840532365,0.87667944
['CO'],['scaled_sci'],TRUE,<class 'torch_geometric.nn.conv.gat_conv.GATConv'>,0.898899339,0.643841695,0.243012704,0.548904752
['CO'],['scaled_sci'],TRUE,<class 'torch_geometric.nn.conv.gatv2_conv.GATv2Conv'>,0.950045635,0.840014064,0.691470054,0.81272095
['CO'],['scaled_sci'],TRUE,<class 'torch_geometric.nn.conv.transformer_conv.TransformerConv'>,0.970491778,0.886061625,0.851058681,0.881841034
['CO'],['scaled_sci'],TRUE,<class 'torch_geometric.nn.conv.gin_conv.GINEConv'>,0.963019971,0.902857093,0.757047792,0.884347058
['CO'],['scaled_sci'],TRUE,<class 'torch_geometric.nn.conv.gmm_conv.GMMConv'>,0.968525594,0.888644057,0.826678766,0.881783298
['CO'],['scaled_sci'],TRUE,<class 'torch_geometric.nn.conv.nn_conv.NNConv'>,0.968131894,0.885401222,0.826678766,0.878937103
['CO'],['scaled_sci'],TRUE,<class 'torch_geometric.nn.conv.gen_conv.GENConv'>,0.624376963,0.552112148,0.910102843,0.556417389
['CO'],['scaled_sci'],TRUE,<class 'torch_geometric.nn.conv.pdn_conv.PDNConv'>,0.901651378,0.676640543,0.256805808,0.576708049
['CO'],['scaled_sci'],TRUE,<class 'torch_geometric.nn.conv.general_conv.GeneralConv'>,0.968131894,0.888311275,0.823169994,0.881162805
['CO'],['scaled_sci'],FALSE,<class 'torch_geometric.nn.conv.res_gated_graph_conv.ResGatedGraphConv'>,0.968130347,0.874167644,0.840471869,0.87053718
['CO'],['scaled_sci'],FALSE,<class 'torch_geometric.nn.conv.gat_conv.GATConv'>,0.893790511,0.388333333,0.143133696,0.331099528
['CO'],['scaled_sci'],FALSE,<class 'torch_geometric.nn.conv.gatv2_conv.GATv2Conv'>,0.960655446,0.860803739,0.774894132,0.848887699
['CO'],['scaled_sci'],FALSE,<class 'torch_geometric.nn.conv.transformer_conv.TransformerConv'>,0.967738966,0.874541951,0.837205082,0.870143235
['CO'],['scaled_sci'],FALSE,<class 'torch_geometric.nn.conv.gin_conv.GINEConv'>,0.964588587,0.882049893,0.795039322,0.871894752
['CO'],['scaled_sci'],FALSE,<class 'torch_geometric.nn.conv.gmm_conv.GMMConv'>,0.968526368,0.900098207,0.81276467,0.890376287
['CO'],['scaled_sci'],FALSE,<class 'torch_geometric.nn.conv.nn_conv.NNConv'>,0.967737419,0.890334892,0.816091954,0.882279583
['CO'],['scaled_sci'],FALSE,<class 'torch_geometric.nn.conv.gen_conv.GENConv'>,0.799627183,0.70843032,0.916636419,0.713381235
['CO'],['scaled_sci'],FALSE,<class 'torch_geometric.nn.conv.pdn_conv.PDNConv'>,0.926831211,0.797668085,0.479310345,0.745074799
['CO'],['scaled_sci'],FALSE,<class 'torch_geometric.nn.conv.general_conv.GeneralConv'>,0.963024612,0.903546507,0.757652753,0.882366525
['CO'],['scaled_mci'],TRUE,<class 'torch_geometric.nn.conv.res_gated_graph_conv.ResGatedGraphConv'>,0.968522501,0.886412644,0.829885058,0.880260677
['CO'],['scaled_mci'],TRUE,<class 'torch_geometric.nn.conv.gat_conv.GATConv'>,0.899685968,0.646447755,0.253418028,0.555531156
['CO'],['scaled_mci'],TRUE,<class 'torch_geometric.nn.conv.gatv2_conv.GATv2Conv'>,0.94217162,0.840853252,0.6107683,0.782620379
['CO'],['scaled_mci'],TRUE,<class 'torch_geometric.nn.conv.transformer_conv.TransformerConv'>,0.970097304,0.874159825,0.861282517,0.872702854
['CO'],['scaled_mci'],TRUE,<class 'torch_geometric.nn.conv.gin_conv.GINEConv'>,0.95042464,0.822896361,0.722444041,0.810819709
['CO'],['scaled_mci'],TRUE,<class 'torch_geometric.nn.conv.gmm_conv.GMMConv'>,0.968525594,0.888644057,0.826678766,0.881783298
['CO'],['scaled_mci'],TRUE,<class 'torch_geometric.nn.conv.nn_conv.NNConv'>,0.968131894,0.886233447,0.826678766,0.879631252
['CO'],['scaled_mci'],TRUE,<class 'torch_geometric.nn.conv.gen_conv.GENConv'>,0.801199666,0.745074214,0.885299456,0.742896582
['CO'],['scaled_mci'],TRUE,<class 'torch_geometric.nn.conv.pdn_conv.PDNConv'>,0.943328744,0.810941993,0.603629764,0.772361697
['CO'],['scaled_mci'],TRUE,<class 'torch_geometric.nn.conv.general_conv.GeneralConv'>,0.966556317,0.889175922,0.805626134,0.879959716
['CO'],['scaled_mci'],FALSE,<class 'torch_geometric.nn.conv.res_gated_graph_conv.ResGatedGraphConv'>,0.967736646,0.873728231,0.836963097,0.869824676
['CO'],['scaled_mci'],FALSE,<class 'torch_geometric.nn.conv.gat_conv.GATConv'>,0.891037699,0.367503085,0.131881428,0.310238299
['CO'],['scaled_mci'],FALSE,<class 'torch_geometric.nn.conv.gatv2_conv.GATv2Conv'>,0.949250499,0.85113823,0.669630974,0.817858836
['CO'],['scaled_mci'],FALSE,<class 'torch_geometric.nn.conv.transformer_conv.TransformerConv'>,0.967345266,0.869248683,0.840532365,0.865960446
['CO'],['scaled_mci'],FALSE,<class 'torch_geometric.nn.conv.gin_conv.GINEConv'>,0.961052241,0.902366947,0.736055656,0.881376798
['CO'],['scaled_mci'],FALSE,<class 'torch_geometric.nn.conv.gmm_conv.GMMConv'>,0.966164937,0.883227813,0.809316394,0.875037287
['CO'],['scaled_mci'],FALSE,<class 'torch_geometric.nn.conv.nn_conv.NNConv'>,0.969310676,0.889519614,0.833514822,0.88348419
['CO'],['scaled_mci'],FALSE,<class 'torch_geometric.nn.conv.gen_conv.GENConv'>,0.966166484,0.864073528,0.837326074,0.860373912
['CO'],['scaled_mci'],FALSE,<class 'torch_geometric.nn.conv.pdn_conv.PDNConv'>,0.951596461,0.861795244,0.672413793,0.835893522
['CO'],['scaled_mci'],FALSE,<class 'torch_geometric.nn.conv.general_conv.GeneralConv'>,0.961051467,0.861279719,0.792135511,0.851905487
['CO'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.res_gated_graph_conv.ResGatedGraphConv'>,0.969309902,0.889787211,0.833393829,0.883686463
['CO'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gat_conv.GATConv'>,0.900471049,0.656957559,0.256866304,0.566188302
['CO'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gatv2_conv.GATv2Conv'>,0.943727086,0.838989134,0.613793103,0.794441104
['CO'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.transformer_conv.TransformerConv'>,0.970098077,0.874417744,0.861343013,0.872876558
['CO'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gin_conv.GINEConv'>,0.967737419,0.892057627,0.816212946,0.883499491
['CO'],"['scaled_sci', 'scaled_mci']",TRUE,<class 'torch_geometric.nn.conv.gmm_conv.GMMConv'>,0.968525594,0.888644057,0.826678766,0.881783298
